original_address,latitude,longitude,formatted_address
"Aura Pizzas, DLF Phase 1, Delhi NCR",28.4650453,77.10071169999999,"DLF Phase 1, Sector 26, Gurugram, Haryana 122002, India"
"Aura Pizzas, Greater Kailash 2 (GK2), Delhi NCR",28.5366811,77.2389135,"Inder Mohan Bhardwaj Marg, Greater Kailash II, Greater Kailash, New Delhi, Delhi, India"
"Aura Pizzas, Sector 135, Delhi NCR",28.4986092,77.3999054,"Sector 135, Noida, Uttar Pradesh 201304, India"
"Aura Pizzas, Sector 4, Delhi NCR",28.6029202,77.04925039999999,"Sector 4, Dwarka, Delhi, 110078, India"
"Aura Pizzas, Vasant Kunj, Delhi NCR",28.524892,77.1566051,"Vasant Square Mall, inside Simaya unisex salon, Pocket 7, Sector B, Vasant Kunj, New Delhi, Delhi 110070, India"
"Chittaranjan Park, Delhi NCR",28.5397842,77.2489726,"Chittaranjan Park, New Delhi, Delhi, India"
"DLF Phase 1, Delhi NCR",28.4650453,77.10071169999999,"DLF Phase 1, Sector 26, Gurugram, Haryana 122002, India"
"Dilli Burger Adda, DLF Phase 1, Delhi NCR",28.5194775,77.28112949999999,"F-15, Pocket F, Okhla Phase I, Okhla Industrial Estate, New Delhi, Delhi 110020, India"
"Dilli Burger Adda, Greater Kailash 2 (GK2), Delhi NCR",28.529973,77.242946,"Inder Mohan Bhardwaj Marg, New Delhi, Delhi, India"
"Dilli Burger Adda, Sector 135, Delhi NCR",28.692229,77.255602,"A312/20 gali no.05, 4th Pustha Rd, behind Muskan hospital, South Gamri, Gamri Village, North East, Delhi, 110053, India"
"Dilli Burger Adda, Sector 4, Delhi NCR",28.692229,77.255602,"A312/20 gali no.05, 4th Pustha Rd, behind Muskan hospital, South Gamri, Gamri Village, North East, Delhi, 110053, India"
"Dilli Burger Adda, Shahdara, Delhi NCR",28.692229,77.255602,"A312/20 gali no.05, 4th Pustha Rd, behind Muskan hospital, South Gamri, Gamri Village, North East, Delhi, 110053, India"
"Greater Kailash 2 (GK2), Delhi NCR",28.5366811,77.2389135,"Inder Mohan Bhardwaj Marg, Greater Kailash II, Greater Kailash, New Delhi, Delhi, India"
"Masala Junction, Sector 4, Delhi NCR",28.6029202,77.04925039999999,"Sector 4, Dwarka, Delhi, 110078, India"
"Sector 135, Delhi NCR",28.4986092,77.3999054,"Sector 135, Noida, Uttar Pradesh 201304, India"
"Sector 4, Delhi NCR",28.5580188,77.17871140000001,"Sector 4, Rama Krishna Puram, New Delhi, Delhi 110022, India"
"Shahdara, Delhi NCR",28.6893144,77.2919663,"Shahdara, Delhi, India"
"Sikandarpur, Delhi NCR",28.7229076,77.78454239999999,"Sikandarpur, Hapur, Uttar Pradesh 245101, India"
"Swaad, DLF Phase 1, Delhi NCR",28.4650453,77.10071169999999,"DLF Phase 1, Sector 26, Gurugram, Haryana 122002, India"
"Swaad, Greater Kailash 2 (GK2), Delhi NCR",28.5366811,77.2389135,"Inder Mohan Bhardwaj Marg, Greater Kailash II, Greater Kailash, New Delhi, Delhi, India"
"Swaad, Sector 135, Delhi NCR",28.4986092,77.3999054,"Sector 135, Noida, Uttar Pradesh 201304, India"
"Swaad, Sector 4, Delhi NCR",28.6029202,77.04925039999999,"Sector 4, Dwarka, Delhi, 110078, India"
"Swaad, Shahdara, Delhi NCR",28.6614437,77.2803034,"RATTAN DEVI SCHOOL, D-7, Satanam Marg, Block D, Krishna Nagar, New Delhi, Delhi, 110051, India"
"Tandoori Junction, DLF Phase 1, Delhi NCR",28.4650453,77.10071169999999,"DLF Phase 1, Sector 26, Gurugram, Haryana 122002, India"
"Tandoori Junction, Greater Kailash 2 (GK2), Delhi NCR",28.53536,77.2419522,"Greater Kailash II, Greater Kailash, New Delhi, Delhi, India"
"Tandoori Junction, Sector 135, Delhi NCR",28.4986092,77.3999054,"Sector 135, Noida, Uttar Pradesh 201304, India"
"Tandoori Junction, Sector 4, Delhi NCR",28.6029202,77.04925039999999,"Sector 4, Dwarka, Delhi, 110078, India"
"Tandoori Junction, Shahdara, Delhi NCR",28.6848082,77.2914455,"Timber Market, 1/3724, Loni Rd, Balbir Nagar Extension, Shahdara, Delhi, 110032, India"
"The Chicken Junction, Chittaranjan Park, Delhi NCR",28.6343005,77.2835688,"U-52, metro station, shakarpur, mother dairy road, near Laxmi nagar, Veer Savarkar Block, Block Da, Shakarpur, Delhi, 110092, India"
"The Chicken Junction, Sector 4, Delhi NCR",28.6029202,77.04925039999999,"Sector 4, Dwarka, Delhi, 110078, India"
"The Chicken Junction, Sikandarpur, Delhi NCR",28.6343005,77.2835688,"U-52, metro station, shakarpur, mother dairy road, near Laxmi nagar, Veer Savarkar Block, Block Da, Shakarpur, Delhi, 110092, India"
"Vasant Kunj, Delhi NCR",28.5293121,77.1484442,"Vasant Kunj, New Delhi, Delhi, India"
